  unhandled argument: C:\Users\vitor\Documents\MIEI\Visualização e Iluminação 1\Trabalho Prático\bin_x64\Release\gl_commandlist_basic.exe
DEVICE: GeForce_GTX_1650
vsync: on
scene.vert.glsl ...
scene.frag.glsl ...
scene.vert.glsl ...
scene.geo.glsl ...
scene.frag.glsl ...
 Timer Frame;	 GL    6868; CPU   8251; (microseconds, avg 55)
  Timer Setup;	 GL       5; CPU      3; (microseconds, avg 55)
  Timer Draw;	 GL    6788; CPU   7936; (microseconds, avg 55)
  Timer Blit;	 GL      61; CPU      2; (microseconds, avg 55)
  Timer GUI;	 GL       7; CPU    282; (microseconds, avg 55)

 Timer Frame;	 GL    6872; CPU   8250; (microseconds, avg 128)
  Timer Setup;	 GL       5; CPU      3; (microseconds, avg 128)
  Timer Draw;	 GL    6791; CPU   7965; (microseconds, avg 128)
  Timer Blit;	 GL      62; CPU      1; (microseconds, avg 128)
  Timer GUI;	 GL       7; CPU    251; (microseconds, avg 128)

 Timer Frame;	 GL    6871; CPU   8267; (microseconds, avg 128)
  Timer Setup;	 GL       5; CPU      3; (microseconds, avg 128)
  Timer Draw;	 GL    6789; CPU   7991; (microseconds, avg 128)
  Timer Blit;	 GL      62; CPU      1; (microseconds, avg 128)
  Timer GUI;	 GL       7; CPU    242; (microseconds, avg 128)

 Timer Frame;	 GL    6870; CPU   8258; (microseconds, avg 128)
  Timer Setup;	 GL       5; CPU      3; (microseconds, avg 128)
  Timer Draw;	 GL    6789; CPU   7987; (microseconds, avg 128)
  Timer Blit;	 GL      62; CPU      1; (microseconds, avg 128)
  Timer GUI;	 GL       7; CPU    238; (microseconds, avg 128)

 Timer Frame;	 GL    6872; CPU   8257; (microseconds, avg 128)
  Timer Setup;	 GL       5; CPU      4; (microseconds, avg 128)
  Timer Draw;	 GL    6792; CPU   7972; (microseconds, avg 128)
  Timer Blit;	 GL      62; CPU      1; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU    250; (microseconds, avg 128)

 Timer Frame;	 GL    6873; CPU   8217; (microseconds, avg 128)
  Timer Setup;	 GL       5; CPU      3; (microseconds, avg 128)
  Timer Draw;	 GL    6793; CPU   7938; (microseconds, avg 128)
  Timer Blit;	 GL      62; CPU      1; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU    246; (microseconds, avg 128)

 Timer Frame;	 GL    6874; CPU   8211; (microseconds, avg 99)
  Timer Setup;	 GL       5; CPU      3; (microseconds, avg 99)
  Timer Draw;	 GL    6790; CPU   7924; (microseconds, avg 99)
  Timer Blit;	 GL      62; CPU      1; (microseconds, avg 99)
  Timer GUI;	 GL      10; CPU    246; (microseconds, avg 99)

 Timer Frame;	 GL    6924; CPU   8248; (microseconds, avg 128)
  Timer Setup;	 GL       8; CPU      3; (microseconds, avg 128)
  Timer Draw;	 GL    6834; CPU    527; (microseconds, avg 128)
  Timer Blit;	 GL      68; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU   7696; (microseconds, avg 128)

 Timer Frame;	 GL    6916; CPU   8279; (microseconds, avg 38)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 38)
  Timer Draw;	 GL    6834; CPU    252; (microseconds, avg 38)
  Timer Blit;	 GL      61; CPU      0; (microseconds, avg 38)
  Timer GUI;	 GL       8; CPU   8004; (microseconds, avg 38)

 Timer Frame;	 GL    6918; CPU   8250; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 128)
  Timer Draw;	 GL    6832; CPU    251; (microseconds, avg 128)
  Timer Blit;	 GL      67; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU   7975; (microseconds, avg 128)

 Timer Frame;	 GL    6925; CPU   8286; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 128)
  Timer Draw;	 GL    6832; CPU    261; (microseconds, avg 128)
  Timer Blit;	 GL      73; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU   8000; (microseconds, avg 128)

 Timer Frame;	 GL    7206; CPU   8603; (microseconds, avg 128)
  Timer Setup;	 GL       8; CPU      3; (microseconds, avg 128)
  Timer Draw;	 GL    6898; CPU    323; (microseconds, avg 128)
  Timer Blit;	 GL     284; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL      10; CPU   8249; (microseconds, avg 128)

 Timer Frame;	 GL    7127; CPU   3818; (microseconds, avg 128)
  Timer Setup;	 GL       8; CPU    126; (microseconds, avg 128)
  Timer Draw;	 GL    6980; CPU   3360; (microseconds, avg 128)
  Timer Blit;	 GL     126; CPU    187; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     83; (microseconds, avg 128)

 Timer Frame;	 GL    6975; CPU   3748; (microseconds, avg 128)
  Timer Setup;	 GL       8; CPU    135; (microseconds, avg 128)
  Timer Draw;	 GL    6862; CPU   3354; (microseconds, avg 128)
  Timer Blit;	 GL      91; CPU     96; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU     93; (microseconds, avg 128)

 Timer Frame;	 GL    7056; CPU   3001; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    133; (microseconds, avg 128)
  Timer Draw;	 GL    6864; CPU   2672; (microseconds, avg 128)
  Timer Blit;	 GL     173; CPU     64; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     72; (microseconds, avg 128)

 Timer Frame;	 GL    6958; CPU   2755; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    116; (microseconds, avg 128)
  Timer Draw;	 GL    6842; CPU   2477; (microseconds, avg 128)
  Timer Blit;	 GL      96; CPU     52; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     61; (microseconds, avg 128)

 Timer Frame;	 GL    6985; CPU   2734; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    101; (microseconds, avg 128)
  Timer Draw;	 GL    6871; CPU   2478; (microseconds, avg 128)
  Timer Blit;	 GL      94; CPU     51; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     60; (microseconds, avg 128)

 Timer Frame;	 GL    6930; CPU   2615; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    109; (microseconds, avg 128)
  Timer Draw;	 GL    6832; CPU   2363; (microseconds, avg 128)
  Timer Blit;	 GL      78; CPU     45; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     55; (microseconds, avg 128)

 Timer Frame;	 GL    6935; CPU   2643; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    109; (microseconds, avg 128)
  Timer Draw;	 GL    6838; CPU   2389; (microseconds, avg 128)
  Timer Blit;	 GL      78; CPU     45; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     54; (microseconds, avg 128)

 Timer Frame;	 GL    6925; CPU   2616; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    109; (microseconds, avg 128)
  Timer Draw;	 GL    6834; CPU   2364; (microseconds, avg 128)
  Timer Blit;	 GL      71; CPU     45; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     53; (microseconds, avg 128)

 Timer Frame;	 GL    6917; CPU   2571; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    102; (microseconds, avg 128)
  Timer Draw;	 GL    6831; CPU   2334; (microseconds, avg 128)
  Timer Blit;	 GL      66; CPU     41; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     52; (microseconds, avg 128)

 Timer Frame;	 GL    6926; CPU   2601; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    113; (microseconds, avg 128)
  Timer Draw;	 GL    6834; CPU   2344; (microseconds, avg 128)
  Timer Blit;	 GL      72; CPU     44; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     53; (microseconds, avg 128)

 Timer Frame;	 GL    6995; CPU   2830; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    122; (microseconds, avg 128)
  Timer Draw;	 GL    6857; CPU   2541; (microseconds, avg 128)
  Timer Blit;	 GL     118; CPU     52; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     63; (microseconds, avg 128)

 Timer Frame;	 GL    7079; CPU   3205; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    140; (microseconds, avg 128)
  Timer Draw;	 GL    6866; CPU   2869; (microseconds, avg 128)
  Timer Blit;	 GL     193; CPU     67; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     74; (microseconds, avg 128)

 Timer Frame;	 GL    6952; CPU   2681; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    118; (microseconds, avg 128)
  Timer Draw;	 GL    6847; CPU   2416; (microseconds, avg 128)
  Timer Blit;	 GL      86; CPU     46; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     55; (microseconds, avg 128)

 Timer Frame;	 GL    7065; CPU   2943; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    127; (microseconds, avg 128)
  Timer Draw;	 GL    6881; CPU   2638; (microseconds, avg 128)
  Timer Blit;	 GL     164; CPU     57; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     66; (microseconds, avg 128)

 Timer Frame;	 GL    6922; CPU   2592; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    108; (microseconds, avg 128)
  Timer Draw;	 GL    6836; CPU   2341; (microseconds, avg 128)
  Timer Blit;	 GL      66; CPU     43; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     54; (microseconds, avg 128)

 Timer Frame;	 GL    6980; CPU   2711; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    102; (microseconds, avg 128)
  Timer Draw;	 GL    6836; CPU   2462; (microseconds, avg 128)
  Timer Blit;	 GL     124; CPU     47; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU     57; (microseconds, avg 128)

 Timer Frame;	 GL    7053; CPU   2841; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    116; (microseconds, avg 128)
  Timer Draw;	 GL    6860; CPU   2558; (microseconds, avg 128)
  Timer Blit;	 GL     173; CPU     52; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU     63; (microseconds, avg 128)

 Timer Frame;	 GL    6930; CPU   2580; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    103; (microseconds, avg 128)
  Timer Draw;	 GL    6833; CPU   2333; (microseconds, avg 128)
  Timer Blit;	 GL      78; CPU     45; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     54; (microseconds, avg 128)

 Timer Frame;	 GL    6936; CPU   2721; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    121; (microseconds, avg 128)
  Timer Draw;	 GL    6839; CPU   2446; (microseconds, avg 128)
  Timer Blit;	 GL      78; CPU     48; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     57; (microseconds, avg 128)

 Timer Frame;	 GL    6951; CPU   2714; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU    107; (microseconds, avg 128)
  Timer Draw;	 GL    6857; CPU   2456; (microseconds, avg 128)
  Timer Blit;	 GL      74; CPU     48; (microseconds, avg 128)
  Timer GUI;	 GL       5; CPU     57; (microseconds, avg 128)

